#domain,ioc,IPs,C2Domains
"0-2.pw","Possible Cobaltstrike DNS C2 Domain","178.128.229.91","ns2.0-2.pw"
"0x115c.click","Possible Cobaltstrike DNS C2 Domain","45.76.123.14","rd.0x115c.click"
"0x3f34.dev","Possible Cobaltstrike DNS C2 Domain","45.76.123.14","rd.0x3f34.dev"
"10nf0x.com","Possible Cobaltstrike DNS C2 Domain","134.209.92.85 159.223.220.165","t.10nf0x.com"
"163microsoft.com","Possible Cobaltstrike DNS C2 Domain","101.36.111.47 152.32.135.165","ns1.163microsoft.com ns2.163microsoft.com"
"227api.com","Possible Cobaltstrike DNS C2 Domain","154.92.16.150","nt1.227api.com nt2.227api.com nt3.227api.com"
"623866.xyz","Possible Cobaltstrike DNS C2 Domain","43.143.58.212","ns1.623866.xyz ns2.623866.xyz"
"akingump.cloud","Possible Cobaltstrike DNS C2 Domain","100.26.145.203","dns.ns1.akingump.cloud ns1.akingump.cloud"
"aliyunn.com.cn","Possible Cobaltstrike DNS C2 Domain","121.43.55.149","ns1.aliyunn.com.cn ns2.aliyunn.com.cn ns3.aliyunn.com.cn"
"allegiancefithealth.com","Possible Cobaltstrike DNS C2 Domain","20.104.172.62","www1.allegiancefithealth.com"
"artstrailman.com","Possible Cobaltstrike DNS C2 Domain","95.179.189.177","dns.artstrailman.com"
"artstrailreviews.com","Possible Cobaltstrike DNS C2 Domain","45.77.72.150","dns.artstrailreviews.com"
"asuscomm.com","Possible Cobaltstrike DNS C2 Domain","85.175.101.203","skynet-i.asuscomm.com"
"atchesonprint.com","Possible Cobaltstrike DNS C2 Domain","81.19.136.234","dns.atchesonprint.com"
"azurewinservice.com","Possible Cobaltstrike DNS C2 Domain","108.61.165.29","dns.azurewinservice.com"
"baidu12366.xyz","Possible Cobaltstrike DNS C2 Domain","106.54.228.198","ns1.baidu12366.xyz"
"bewiser.at","Possible Cobaltstrike DNS C2 Domain","95.179.137.233","ns1.bewiser.at"
"bilibili360.xyz","Possible Cobaltstrike DNS C2 Domain","121.5.128.191","dropper.bilibili360.xyz"
"bois.sh","Possible Cobaltstrike DNS C2 Domain","20.55.16.22","bad.bois.sh good.bois.sh scoring.bois.sh"
"bre1ce.top","Possible Cobaltstrike DNS C2 Domain","155.94.170.73","ns1.bre1ce.top server1.bre1ce.top"
"bwork.online","Possible Cobaltstrike DNS C2 Domain","124.221.133.199","ns1.bwork.online"
"byresolved.com","Possible Cobaltstrike DNS C2 Domain","18.219.198.202","dns.byresolved.com"
"centos-yum.xyz","Possible Cobaltstrike DNS C2 Domain","167.179.84.218","ns1.centos-yum.xyz ns2.centos-yum.xyz"
"cert-ex.net","Possible Cobaltstrike DNS C2 Domain","89.116.44.121","cc.cert-ex.net"
"checkavail.space","Possible Cobaltstrike DNS C2 Domain","191.101.44.35","dns.checkavail.space ns.checkavail.space"
"checkinfomation.tk","Possible Cobaltstrike DNS C2 Domain","45.32.94.53","dnsa.checkinfomation.tk dnsb.checkinfomation.tk"
"chongfan1990.xyz","Possible Cobaltstrike DNS C2 Domain","35.78.175.21","ns1.chongfan1990.xyz ns2.chongfan1990.xyz ns3.chongfan1990.xyz"
"cityoall.com","Possible Cobaltstrike DNS C2 Domain","94.20.88.63","cityoall.com dns.cityoall.com"
"cncb.info","Possible Cobaltstrike DNS C2 Domain","35.78.175.21","mail.cncb.info oa.cncb.info software.cncb.info wps.cncb.info"
"crnbchina.top","Possible Cobaltstrike DNS C2 Domain","47.242.37.176","ns1.crnbchina.top ns2.crnbchina.top"
"dice1018.top","Possible Cobaltstrike DNS C2 Domain","38.181.70.201","ns1.dice1018.top ns2.dice1018.top"
"digihealthlocker.com","Possible Cobaltstrike DNS C2 Domain","54.226.3.99","recommendation.digihealthlocker.com"
"dingtaIk.tk","Possible Cobaltstrike DNS C2 Domain","47.94.43.210","ns1.dingtaIk.tk ns2.dingtaIk.tk"
"djn.blue","Possible Cobaltstrike DNS C2 Domain","159.203.60.8","dnsswag.djn.blue"
"efstech.de","Possible Cobaltstrike DNS C2 Domain","213.61.251.56","cdn.efstech.de"
"etallyall.com","Possible Cobaltstrike DNS C2 Domain","45.32.196.110","beacon.etallyall.com"
"freshstartupusa.org","Possible Cobaltstrike DNS C2 Domain","207.246.74.189","dns.freshstartupusa.org"
"ftoffice.com","Possible Cobaltstrike DNS C2 Domain","46.101.147.204","ns1.ftoffice.com"
"fuckworldxxx.shop","Possible Cobaltstrike DNS C2 Domain","123.207.51.53","ns1.fuckworldxxx.shop ns2.fuckworldxxx.shop ns3.fuckworldxxx.shop"
"fwmtest.cn","Possible Cobaltstrike DNS C2 Domain","1.94.110.130","ns1.fwmtest.cn ns2.fwmtest.cn"
"gxzf.site","Possible Cobaltstrike DNS C2 Domain","23.94.76.46","one.gxzf.site"
"h1ll0.cs.in","Possible Cobaltstrike DNS C2 Domain","134.122.129.173 156.234.211.226","ns1.h1ll0.cs.in ns2.h1ll0.cs.in"
"ibmxwork.com","Possible Cobaltstrike DNS C2 Domain","3.74.161.55","dns.ibmxwork.com support.ibmxwork.com"
"index-gpt.pro","Possible Cobaltstrike DNS C2 Domain","176.96.138.158","xmr.index-gpt.pro"
"is-not-really-a.space","Possible Cobaltstrike DNS C2 Domain","195.65.41.209","tab.is-not-really-a.space"
"is-not-really-a.website","Possible Cobaltstrike DNS C2 Domain","195.65.41.209","www.is-not-really-a.website"
"jd-vip.cn","Possible Cobaltstrike DNS C2 Domain","62.234.13.73","ns1.jd-vip.cn ns2.jd-vip.cn"
"jiayongdianqi.xyz","Possible Cobaltstrike DNS C2 Domain","45.135.118.251","dianqi1.dianqi2.jiayongdianqi.xyz dianqi1.jiayongdianqi.xyz dianqi2.dianqi1.jiayongdianqi.xyz dianqi2.jiayongdianqi.xyz"
"johnchen88.com","Possible Cobaltstrike DNS C2 Domain","43.139.189.54","n1.johnchen88.com"
"judicical.ml","Possible Cobaltstrike DNS C2 Domain","45.145.228.117","check.judicical.ml check1.judicical.ml"
"marfei.zone","Possible Cobaltstrike DNS C2 Domain","121.40.119.94","c2.marfei.zone"
"matrika.cn","Possible Cobaltstrike DNS C2 Domain","60.204.208.32","yyns.matrika.cn"
"microsoft-hk.com","Possible Cobaltstrike DNS C2 Domain","124.220.19.234","cdn.microsoft-hk.com"
"microsoft-update.one","Possible Cobaltstrike DNS C2 Domain","38.207.179.24","ns1.microsoft-update.one ns2.microsoft-update.one"
"microsoft2888.top","Possible Cobaltstrike DNS C2 Domain","1.117.93.65","ns1.microsoft2888.top"
"microsoft360.xyz","Possible Cobaltstrike DNS C2 Domain","23.95.208.14","bbo.microsoft360.xyz oob.microsoft360.xyz"
"microsoftapply.com","Possible Cobaltstrike DNS C2 Domain","103.186.215.56","update.microsoftapply.com"
"microsoftgame.online","Possible Cobaltstrike DNS C2 Domain","117.50.178.197","ns1.microsoftgame.online ns2.microsoftgame.online ns3.microsoftgame.online"
