#ip,ioc
1.116.160.39,Possible Cobaltstrike C2 IP
1.116.96.210,Possible Cobaltstrike C2 IP
1.117.79.251,Possible Cobaltstrike C2 IP
1.117.93.65,Possible Cobaltstrike C2 IP
1.12.55.126,Possible Cobaltstrike C2 IP
1.12.69.169,Possible Cobaltstrike C2 IP
1.13.156.222,Possible Cobaltstrike C2 IP
1.13.158.52,Possible Cobaltstrike C2 IP
1.13.17.185,Possible Cobaltstrike C2 IP
1.13.255.117,Possible Cobaltstrike C2 IP
1.14.121.202,Possible Cobaltstrike C2 IP
1.14.127.220,Possible Cobaltstrike C2 IP
1.14.45.126,Possible Cobaltstrike C2 IP
1.14.76.152,Possible Cobaltstrike C2 IP
1.15.248.225,Possible Cobaltstrike C2 IP
100.26.145.203,Possible Cobaltstrike C2 IP
101.132.118.252,Possible Cobaltstrike C2 IP
101.32.192.152,Possible Cobaltstrike C2 IP
101.32.34.196,Possible Cobaltstrike C2 IP
101.33.244.132,Possible Cobaltstrike C2 IP
101.33.250.143,Possible Cobaltstrike C2 IP
101.34.222.38,Possible Cobaltstrike C2 IP
101.34.36.115,Possible Cobaltstrike C2 IP
101.34.46.239,Possible Cobaltstrike C2 IP
101.34.71.193,Possible Cobaltstrike C2 IP
101.35.198.64,Possible Cobaltstrike C2 IP
101.35.253.212,Possible Cobaltstrike C2 IP
101.35.4.152,Possible Cobaltstrike C2 IP
101.35.40.78,Possible Cobaltstrike C2 IP
101.37.20.206,Possible Cobaltstrike C2 IP
101.42.141.237,Possible Cobaltstrike C2 IP
101.42.22.120,Possible Cobaltstrike C2 IP
101.43.1.44,Possible Cobaltstrike C2 IP
101.43.103.253,Possible Cobaltstrike C2 IP
101.43.117.80,Possible Cobaltstrike C2 IP
101.43.122.252,Possible Cobaltstrike C2 IP
101.43.142.116,Possible Cobaltstrike C2 IP
101.43.147.69,Possible Cobaltstrike C2 IP
101.43.149.199,Possible Cobaltstrike C2 IP
101.43.149.73,Possible Cobaltstrike C2 IP
101.43.156.246,Possible Cobaltstrike C2 IP
101.43.16.149,Possible Cobaltstrike C2 IP
101.43.165.220,Possible Cobaltstrike C2 IP
101.43.183.39,Possible Cobaltstrike C2 IP
101.43.2.116,Possible Cobaltstrike C2 IP
101.43.249.151,Possible Cobaltstrike C2 IP
101.43.49.244,Possible Cobaltstrike C2 IP
101.43.67.24,Possible Cobaltstrike C2 IP
101.43.70.206,Possible Cobaltstrike C2 IP
101.91.154.125,Possible Cobaltstrike C2 IP
103.146.141.98,Possible Cobaltstrike C2 IP
103.16.231.87,Possible Cobaltstrike C2 IP
103.176.91.148,Possible Cobaltstrike C2 IP
103.234.72.74,Possible Cobaltstrike C2 IP
103.39.78.153,Possible Cobaltstrike C2 IP
103.44.250.187,Possible Cobaltstrike C2 IP
103.68.109.31,Possible Metasploit C2 IP
103.96.128.40,Possible Cobaltstrike C2 IP
103.97.177.106,Possible Cobaltstrike C2 IP
104.17.123.55,Possible Cobaltstrike C2 IP
104.21.14.245,Possible Cobaltstrike C2 IP
104.223.121.37,Possible Cobaltstrike C2 IP
104.245.213.48,Possible Cobaltstrike C2 IP
104.248.170.245,Possible Metasploit C2 IP
106.12.116.233,Possible Cobaltstrike C2 IP
106.12.174.99,Possible Cobaltstrike C2 IP
106.13.15.6,Possible Cobaltstrike C2 IP
106.14.144.30,Possible Cobaltstrike C2 IP
106.14.149.88,Possible Cobaltstrike C2 IP
106.14.75.240,Possible Cobaltstrike C2 IP
106.15.235.168,Possible Cobaltstrike C2 IP
106.52.163.222,Possible Cobaltstrike C2 IP
106.52.244.189,Possible Cobaltstrike C2 IP
106.52.253.80,Possible Cobaltstrike C2 IP
106.53.147.223,Possible Cobaltstrike C2 IP
106.54.181.10,Possible Cobaltstrike C2 IP
106.54.216.162,Possible Cobaltstrike C2 IP
106.54.227.251,Possible Cobaltstrike C2 IP
106.54.228.198,Possible Cobaltstrike C2 IP
106.55.181.108,Possible Cobaltstrike C2 IP
106.55.181.95,Possible Cobaltstrike C2 IP
106.75.2.57,Possible Cobaltstrike C2 IP
106.75.214.55,Possible Cobaltstrike C2 IP
107.150.5.221,Possible Cobaltstrike C2 IP
107.172.103.148,Possible Cobaltstrike C2 IP
107.173.15.230,Possible Cobaltstrike C2 IP
107.174.253.49,Possible Cobaltstrike C2 IP
107.175.111.199,Possible Cobaltstrike C2 IP
109.205.56.206,Possible Cobaltstrike C2 IP
110.40.195.32,Possible Cobaltstrike C2 IP
110.41.11.72,Possible Cobaltstrike C2 IP
110.41.142.241,Possible Cobaltstrike C2 IP
110.42.192.76,Possible Cobaltstrike C2 IP
110.42.205.49,Possible Cobaltstrike C2 IP
110.42.206.10,Possible Cobaltstrike C2 IP
110.42.213.232,Possible Cobaltstrike C2 IP
110.42.234.190,Possible Cobaltstrike C2 IP
111.229.142.238,Possible Cobaltstrike C2 IP
111.229.158.40,Possible Cobaltstrike C2 IP
111.230.194.172,Possible Cobaltstrike C2 IP
111.230.30.197,Possible Cobaltstrike C2 IP
111.230.57.184,Possible Cobaltstrike C2 IP
111.231.21.154,Possible Cobaltstrike C2 IP
111.90.143.37,Possible Metasploit C2 IP
111.90.151.233,Possible Metasploit C2 IP
112.124.53.64,Possible Cobaltstrike C2 IP
113.250.188.15,Possible Cobaltstrike C2 IP
113.89.10.190,Possible Cobaltstrike C2 IP
114.115.165.215,Possible Cobaltstrike C2 IP
114.115.185.41,Possible Cobaltstrike C2 IP
114.115.185.63,Possible Cobaltstrike C2 IP
114.115.210.125,Possible Cobaltstrike C2 IP
114.115.220.199,Possible Cobaltstrike C2 IP
114.116.49.242,Possible Cobaltstrike C2 IP
114.132.156.55,Possible Cobaltstrike C2 IP
114.132.158.218,Possible Cobaltstrike C2 IP
114.132.197.186,Possible Cobaltstrike C2 IP
114.132.56.13,Possible Cobaltstrike C2 IP
114.55.106.100,Possible Cobaltstrike C2 IP
114.67.242.178,Possible Cobaltstrike C2 IP
115.159.205.225,Possible Cobaltstrike C2 IP
115.159.221.202,Possible Cobaltstrike C2 IP
116.198.18.151,Possible Cobaltstrike C2 IP
116.198.34.83,Possible Cobaltstrike C2 IP
116.204.114.199,Possible Cobaltstrike C2 IP
116.204.81.202,Possible Cobaltstrike C2 IP
116.205.177.123,Possible Cobaltstrike C2 IP
116.205.241.185,Possible Cobaltstrike C2 IP
116.62.188.205,Possible Cobaltstrike C2 IP
116.62.24.245,Possible Cobaltstrike C2 IP
116.63.185.222,Possible Cobaltstrike C2 IP
117.50.174.131,Possible Cobaltstrike C2 IP
117.50.182.224,Possible Cobaltstrike C2 IP
117.72.8.251,Possible Cobaltstrike C2 IP
118.126.95.13,Possible Cobaltstrike C2 IP
118.195.162.65,Possible Cobaltstrike C2 IP
118.195.193.27,Possible Cobaltstrike C2 IP
118.24.128.204,Possible Cobaltstrike C2 IP
118.24.128.43,Possible Cobaltstrike C2 IP
118.24.29.218,Possible Cobaltstrike C2 IP
118.25.13.19,Possible Cobaltstrike C2 IP
118.25.137.239,Possible Cobaltstrike C2 IP
118.31.34.136,Possible Cobaltstrike C2 IP
118.31.8.234,Possible Cobaltstrike C2 IP
118.89.201.210,Possible Cobaltstrike C2 IP
118.89.71.205,Possible Cobaltstrike C2 IP
119.23.229.180,Possible Cobaltstrike C2 IP
119.23.52.84,Possible Cobaltstrike C2 IP
119.29.145.4,Possible Cobaltstrike C2 IP
119.29.225.65,Possible Cobaltstrike C2 IP
119.3.93.61,Possible Cobaltstrike C2 IP
119.45.250.39,Possible Cobaltstrike C2 IP
119.91.109.228,Possible Cobaltstrike C2 IP
119.91.20.97,Possible Cobaltstrike C2 IP
119.91.207.9,Possible Cobaltstrike C2 IP
119.91.210.105,Possible Cobaltstrike C2 IP
119.91.31.246,Possible Cobaltstrike C2 IP
120.26.50.204,Possible Cobaltstrike C2 IP
120.27.210.80,Possible Cobaltstrike C2 IP
120.27.94.139,Possible Cobaltstrike C2 IP
120.46.164.123,Possible Cobaltstrike C2 IP
120.48.62.132,Possible Cobaltstrike C2 IP
120.48.83.89,Possible Cobaltstrike C2 IP
120.53.220.154,Possible Cobaltstrike C2 IP
120.76.173.159,Possible Cobaltstrike C2 IP
120.78.155.42,Possible Cobaltstrike C2 IP
120.78.156.73,Possible Cobaltstrike C2 IP
120.79.225.52,Possible Cobaltstrike C2 IP
120.79.64.164,Possible Cobaltstrike C2 IP
121.135.44.49,Possible Cobaltstrike C2 IP
121.196.235.124,Possible Cobaltstrike C2 IP
121.199.21.219,Possible Cobaltstrike C2 IP
121.199.32.167,Possible Cobaltstrike C2 IP
121.36.201.189,Possible Cobaltstrike C2 IP
121.36.55.149,Possible Cobaltstrike C2 IP
121.37.135.169,Possible Cobaltstrike C2 IP
121.37.208.189,Possible Cobaltstrike C2 IP
121.37.215.238,Possible Cobaltstrike C2 IP
