#domain,ioc
21hjgt71f.sharedomain.top,Possible Cobalt Strike C2 Domain
3g.ali213.net,Possible Cobalt Strike C2 Fronted Domain
3gjanc04hk.execute-api.us-east-2.amazonaws.com,Possible Cobalt Strike C2 Domain
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Domain
55.18.131.34.bc.googleusercontent.com,Possible Cobalt Strike C2 Domain
69uiu06es5.execute-api.us-east-1.amazonaws.com,Possible Cobalt Strike C2 Domain
Jango-pulse.com,Possible Cobalt Strike C2 Domain
a.pain.capetown,Possible Cobalt Strike C2 Domain
ad.urlz.ws,Possible Cobalt Strike C2 Domain
admin.usaid2.org,Possible Cobalt Strike C2 Domain
aerh.azureedge.net,Possible Cobalt Strike C2 Domain
aka.akadns.us,Possible Cobalt Strike C2 Domain
api.updateservices.org,Possible Cobalt Strike C2 Domain
arpa.giodnews.com,Possible Cobalt Strike C2 Domain
arpa.indiadreamdestinations.com,Possible Cobalt Strike C2 Domain
as.regcssv.com,Possible Cobalt Strike C2 Domain
averatechsolutions.com,Possible Cobalt Strike C2 Fronted Domain
bad.bois.sh,Possible Cobalt Strike C2 Domain
baidu.com,Possible Cobalt Strike C2 Domain
bb.makkgg.fyi,Possible Cobalt Strike C2 Domain
bbo.microsoft360.xyz,Possible Cobalt Strike C2 Domain
beacon.etallyall.com,Possible Cobalt Strike C2 Domain
big-walls.com,Possible Cobalt Strike C2 Fronted Domain
bing.com,Possible Cobalt Strike C2 Fronting Domain
blm-wiki.com,Possible Cobalt Strike C2 Domain
buy-dnd.shop,Possible Cobalt Strike C2 Domain
c1.tqrjfru.cn,Possible Cobalt Strike C2 Domain
c2.marfei.zone,Possible Cobalt Strike C2 Domain
canarapay-f5agf9ccgteqbpg2.z03.azurefd.net,Possible Cobalt Strike C2 Domain
cc.cert-ex.net,Possible Cobalt Strike C2 Domain
cc.youku.zip,Possible Cobalt Strike C2 Domain
cdn-014.epsonupdate.uk,Possible Cobalt Strike C2 Domain
cdn-1488.winstate.cc,Possible Cobalt Strike C2 Domain
cdn-aws-amazon.nbcnews.site,Possible Cobalt Strike C2 Fronted Domain
cdn-lnk-075.epsonupdate.uk,Possible Cobalt Strike C2 Domain
cdn.3qweraa.beauty,Possible Cobalt Strike C2 Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cdn.microsoft-hk.com,Possible Cobalt Strike C2 Domain
cdn.prdcdn.com,Possible Cobalt Strike C2 Domain
cdn.tgu-future.cn,Possible Cobalt Strike C2 Domain
cdncloud.info,Possible Cobalt Strike C2 Domain
cf907cd9e8f94a93937a6360363420b2.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
chniabank.com,Possible Cobalt Strike C2 Domain
chu-healthcare-infra.org,Possible Cobalt Strike C2 Domain
cins.hin7lostvas.pro,Possible Cobalt Strike C2 Domain
citrix.prdcdn.com,Possible Cobalt Strike C2 Domain
cityoall.com,Possible Cobalt Strike C2 Domain
client-api.arkoselabs.com,Possible Cobalt Strike C2 Fronted Domain
cloudflear.cf,Possible Cobalt Strike C2 Domain
clouds.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
code.jquery.com,Possible Cobalt Strike C2 Fronting Domain
contact.mwam.support,Possible Cobalt Strike C2 Domain
content.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
cs.buidu.site,Possible Cobalt Strike C2 Domain
cs.h1ll0.cs.in,Possible Cobalt Strike C2 Domain
cs.xfdaili.com,Possible Cobalt Strike C2 Domain
d11zd6hrtvyf1p.cloudfront.net,Possible PoshC2 Domain
d2zp39t2eezbsc.cloudfront.net,Possible Cobalt Strike C2 Domain
d2zp39t2eezbsc.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
d8g.lol,Possible Cobalt Strike C2 Domain
d9msk9dy9tbnk.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain
dctrvi.azureedge.net,Possible Cobalt Strike C2 Domain
delabfactory.com,Possible Cobalt Strike C2 Fronted Domain
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dig.fuli-oa.cn,Possible Cobalt Strike C2 Domain
dmobd90auod5w.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain
dns.artstrailreviews.com,Possible Cobalt Strike C2 Domain
dns.byresolved.com,Possible Cobalt Strike C2 Domain
dns.checkavail.space,Possible Cobalt Strike C2 Domain
dns.cityoall.com,Possible Cobalt Strike C2 Domain
dns.ibmxwork.com,Possible Cobalt Strike C2 Domain
dns.nightmare.su,Possible Cobalt Strike C2 Domain
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain
dns.ontexcare.com,Possible Cobalt Strike C2 Domain
dns.otxcarecosmetics.com,Possible Cobalt Strike C2 Domain
dns.otxcosmeticscare.com,Possible Cobalt Strike C2 Domain
dns.recentbeelive.com,Possible Cobalt Strike C2 Domain
dns.ringatpstul.com,Possible Cobalt Strike C2 Domain
dns.t0nger.com,Possible Cobalt Strike C2 Domain
dns.tecbanis.com,Possible Cobalt Strike C2 Domain
dns.trailcocompany.com,Possible Cobalt Strike C2 Domain
dns.trailcosolutions.com,Possible Cobalt Strike C2 Domain
dns.veriernano.com,Possible Cobalt Strike C2 Domain
dnsa.checkinfomation.tk,Possible Cobalt Strike C2 Domain
dnsb.checkinfomation.tk,Possible Cobalt Strike C2 Domain
dnsrv.prdcdn.com,Possible Cobalt Strike C2 Domain
dnsswag.djn.blue,Possible Cobalt Strike C2 Domain
dockerupdate.xyz,Possible Cobalt Strike C2 Domain
docloudstorage.com,Possible Cobalt Strike C2 Fronted Domain
download.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
download.updatebrowser.cn,Possible Cobalt Strike C2 Fronted Domain
drive-east-us-fahybddhebhxejbb.z02.azurefd.net,Possible Cobalt Strike C2 Fronted Domain
drive-us.azureedge.net,Possible Cobalt Strike C2 Fronting Domain
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain
endpointinfrart.azureedge.net,Possible Cobalt Strike C2 Domain
epic-games-api.arkoselabs.com,Possible Cobalt Strike C2 Fronted Domain
exchange1.microsoftser.top,Possible Cobalt Strike C2 Domain
exchange2.microsoftser.top,Possible Cobalt Strike C2 Domain
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
files.jslibc.com,Possible Cobalt Strike C2 Domain
find-ball.com,Possible Cobalt Strike C2 Fronted Domain
firmwarefusion.com,Possible Cobalt Strike C2 Fronted Domain
fk.n0reply.eu.org,Possible Cobalt Strike C2 Domain
g.fyss888.com,Possible Cobalt Strike C2 Domain
gays.egorvlasov.ru,Possible Cobalt Strike C2 Domain
goldensoftware.co.uk,Possible Cobalt Strike C2 Domain
goliathms.azureedge.net,Possible Cobalt Strike C2 Domain
good.bois.sh,Possible Cobalt Strike C2 Domain
gostatts.com,Possible Cobalt Strike C2 Domain
heicehjuisyq.bond,Possible Cobalt Strike C2 Domain
i.xlei.cc,Possible Cobalt Strike C2 Domain
igo0gle.com,Possible Cobalt Strike C2 Domain
ipadd.show,Possible Cobalt Strike C2 Domain
ipv6.beijing-qax.top,Possible Cobalt Strike C2 Domain
jquery.com,Possible Cobalt Strike C2 Fronting Domain
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain
jspassport.ssl.qhimg.com,Possible Cobalt Strike C2 Fronting Domain
jspassport.ssl.qhimg.com.dsa.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain
log.speech-microsoft.com,Possible Cobalt Strike C2 Domain
login.oraclecloudsig.com,Possible Cobalt Strike C2 Fronting Domain
logs.speech-microsoft.com,Possible Cobalt Strike C2 Domain
m.old.gxjczx.gov.cn,Possible Cobalt Strike C2 Fronted Domain
mail.cncb.info,Possible Cobalt Strike C2 Domain
mgteu4.averatechsolutions.com,Possible Cobalt Strike C2 Fronting Domain
miao.xiaogoubi.top,Possible Cobalt Strike C2 Domain
microsoftwindows.one,Possible Cobalt Strike C2 Domain
mpr23-421-c2.westus2.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
n1.johnchen88.com,Possible Cobalt Strike C2 Domain
newcleos.com,Possible Cobalt Strike C2 Domain
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain
nimappche.buzz,Possible Cobalt Strike C2 Domain
nocomp.freeboxos.fr,Possible Cobalt Strike C2 Domain
nodejsmysql.com,Possible Cobalt Strike C2 Domain
