#domain,ioc
1.jangholi.info,Possible Cobalt Strike C2 Domain
1398747042169696.cn-hangzhou.fc.aliyuncs.com,Possible Cobalt Strike C2 Domain
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain
a.verbinding-voor-cobalt.nl,Possible Cobalt Strike C2 Domain
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain
acornservices.org,Possible Cobalt Strike C2 Domain
airlinesapp.net,Possible Cobalt Strike C2 Domain
ajax.microsoft.com,Possible Cobalt Strike C2 Fronted Domain
anservusa.com,Possible Cobalt Strike C2 Domain
api.0nedriveup.com,Possible Cobalt Strike C2 Domain
api.office-updates.org,Possible Cobalt Strike C2 Domain
api.upgrad3.cc,Possible Cobalt Strike C2 Domain
appreciation-hub.azureedge.net,Possible Cobalt Strike C2 Domain
as.svcregsvr.com,Possible Cobalt Strike C2 Domain
aspmx5.clsr.ca,Possible Cobalt Strike C2 Domain
awsglobalaccelerator.awsliveec.com,Possible Cobalt Strike C2 Domain
bacon.danger-zone.net,Possible Cobalt Strike C2 Fronted Domain
baidu.com,Possible Cobalt Strike C2 Domain
baltlifeapp.com,Possible Cobalt Strike C2 Domain
block.health-degree.com,Possible Cobalt Strike C2 Domain
bot.douosadgaadonline.org,Possible Cobalt Strike C2 Domain
c.shpdzf.top,Possible Cobalt Strike C2 Fronted Domain
c1.unirorm.xyz,Possible Cobalt Strike C2 Domain
c2.marfei.zone,Possible Cobalt Strike C2 Domain
cache.thorjane.com,Possible Cobalt Strike C2 Domain
cambiardinero.com,Possible Cobalt Strike C2 Fronted Domain
carepassmedservices.com,Possible Cobalt Strike C2 Fronted Domain
casc.polytechit.org,Possible Cobalt Strike C2 Domain
cc.cert-ex.net,Possible Cobalt Strike C2 Domain
cdn.amazon-shopping.nl,Possible Cobalt Strike C2 Domain
cdn.carepassmedservices.com,Possible Cobalt Strike C2 Fronting Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cdn.fayevalentine.world,Possible Cobalt Strike C2 Fronting Domain
cdn.jquerycodes.com,Possible Cobalt Strike C2 Domain
cdn.jscriptstore.com,Possible Cobalt Strike C2 Domain
