#domain,ioc,uri_path
1.jangholi.info,Possible Cobalt Strike C2 Domain,/dpixel
a.bwvwvwv.cf,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
a.osslog.com,Possible Cobalt Strike C2 Domain,/jquery-3.6.1.min.js
a.verbinding-voor-cobalt.nl,Possible Cobalt Strike C2 Domain,/ad71d350-167d-4337-b3b8-d146b5d3d96b/
a.wvwvwv.tk,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php
activity.quicksmartmoney.com,Possible Cobalt Strike C2 Domain,/j.ad
api.0nedriveup.com,Possible Cobalt Strike C2 Domain,/activity
api.office-updates.org,Possible Cobalt Strike C2 Domain,/owa/
api.officeserviced.com,Possible Cobalt Strike C2 Domain,/level/ch/N08U2YSOIU
api.upgrad3.cc,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
apis.nodejs.cn,Possible Cobalt Strike C2 Fronting Domain,/mall_100_100.html
apis.nodejs.cn.wswebpic.com,Possible Cobalt Strike C2 Fronted Domain,/mall_100_100.html
app.jinnahinternational.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
aspmx5.googlemail.clsr.ca,Possible Cobalt Strike C2 Domain,/activity
block.health-degree.com,Possible Cobalt Strike C2 Domain,/j.ad
bot.douosadgaadonline.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
cache.thorjane.com,Possible Cobalt Strike C2 Domain,/search
cc.cert-ex.net,Possible Cobalt Strike C2 Domain,/__utm.gif
cdn.amazon-shopping.nl,Possible Cobalt Strike C2 Domain,/c986e4a8-46ff-4083-b6e8-e744c780e36b/
cdn.efstech.de,Possible Cobalt Strike C2 Domain,/adstats/v2/q
cdn.microsoft-hk.com,Possible Cobalt Strike C2 Domain,/CloudGraph/Collection/v1
cdn.suiteb.io,Possible Cobalt Strike C2 Domain,/__utm.gif
cdn.t411.re,Possible Cobalt Strike C2 Fronted Domain,/___utm.gif
check-in.jinnahinternational.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
check.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/j.ad
check1.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
cityoall.com,Possible Cobalt Strike C2 Domain,/pixel.gif
cms.credsera.org,Possible Cobalt Strike C2 Domain,/owa/
contact.mwam.support,Possible Cobalt Strike C2 Domain,/messages/C0527B0NM
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain,/ca
ctic.azureedge.net,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
d1am0nd.ddns.net,Possible Cobalt Strike C2 Domain,/push
dc.sunsetwxllc.com,Possible Cobalt Strike C2 Domain,/search
demandonet.com,Possible PoshC2 Fronting Domain,//Philips/v902/
dentaldev.azureedge.net,Possible Cobalt Strike C2 Domain,/query.xml
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
dns.cityoall.com,Possible Cobalt Strike C2 Domain,/cm
dns.forcorpor.com,Possible Cobalt Strike C2 Domain,/match
dns.greypsecurity.training,Possible Cobalt Strike C2 Domain,/search/
dns.incididunt.com,Possible Cobalt Strike C2 Domain,/pixel.gif
dns.noranekoheart.top,Possible Cobalt Strike C2 Domain,/cx
dns.noranekoheart.top,Possible Cobalt Strike C2 Domain,/dpixel
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/fwlink
dns31.starbucksvip.com,Possible Cobalt Strike C2 Domain,/static/mancard/img/qrcode_download_john.png
dns32.starbucksvip.com,Possible Cobalt Strike C2 Domain,/static/mancard/img/qrcode_download_john.png
dnsswag.djn.blue,Possible Cobalt Strike C2 Domain,/search
doc.bluework.ink,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dot.healthtricks101.com,Possible Cobalt Strike C2 Domain,/j.ad
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain,/cm
dsbrwv9wmb7cj.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain,/___utm.gif
easycard-t.sumikuma.tw,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
equal.fairtaxcolorado.org,Possible Cobalt Strike C2 Domain,/j.ad
exchange1.microsoftser.top,Possible Cobalt Strike C2 Domain,/www/handle/doc
exchange2.microsoftser.top,Possible Cobalt Strike C2 Domain,/www/handle/doc
exchanges1.microsoftser.top,Possible Cobalt Strike C2 Domain,/pixel
exchanges2.microsoftser.top,Possible Cobalt Strike C2 Domain,/pixel
extreme.enove-dental.com,Possible Cobalt Strike C2 Domain,/j.ad
forcorpor.com,Possible Cobalt Strike C2 Domain,/fwlink
gk.stst.ru,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
hardcorearrpa.viewdns.net,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
high.ehealthnutrition.com,Possible Cobalt Strike C2 Domain,/j.ad
hw.chintelecom.com.cn,Possible Cobalt Strike C2 Domain,/updates
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
incididunt.com,Possible Cobalt Strike C2 Domain,/push
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/ca
leno.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain,/api/3
log.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2
login.jinnahinternational.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
logs.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2
m1.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/static/js/jquery-3.3.1.min.js
m2.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/static/js/jquery-3.3.1.min.js
mail.cncb.info,Possible Cobalt Strike C2 Domain,/updates
manager.moonlighter.space,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2016/12/29136388_
many.praccountingandtax.com,Possible Cobalt Strike C2 Domain,/j.ad
mom.pain.capetown,Possible Cobalt Strike C2 Domain,/pixel
mricossoftmanager.info,Possible Cobalt Strike C2 Domain,/siteindex/c/
ns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
ns.controlcavi.com,Possible Cobalt Strike C2 Domain,/_/SubscriptionsManagementUi/data/batchexecute
ns.grp.jpn.com,Possible Cobalt Strike C2 Domain,/jquery-3.5.0.min.js
ns.manager.moonlighter.space,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2016/12/29136388_
ns.n0reply.eu.org,Possible Cobalt Strike C2 Domain,/api-opt-2023-gfr/3
ns1.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
ns1.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain,/push
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ns1.anaitea.com,Possible Cobalt Strike C2 Domain,/jquery.com/
ns1.baidu12366.xyz,Possible Cobalt Strike C2 Domain,/www/handle/doc
ns1.beta-microsoft.com,Possible Cobalt Strike C2 Domain,/beta/microsoft/installer/latest
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain,/ptj
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
ns1.dnslogik.com,Possible Cobalt Strike C2 Domain,/mp/getapp/msgext
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
ns1.goporsche.de,Possible Cobalt Strike C2 Domain,/jquery.com/
ns1.microsoft2888.top,Possible Cobalt Strike C2 Domain,/visit.js
ns1.mikrokredit.shop,Possible Cobalt Strike C2 Domain,/jquary-3.3.1.min.js
ns1.onesdriveupdate.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.pycharm-edu.us,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
ns1.sangfor911.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.scalaganai.buzz,Possible Cobalt Strike C2 Domain,/j.ad
ns1.siegemachine.cn,Possible Cobalt Strike C2 Domain,/activity
ns1.vip404.eu.org,Possible Cobalt Strike C2 Domain,/updates.rss
ns1.we-bank.icu,Possible Cobalt Strike C2 Domain,/introduction/edr
ns1.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
ns1.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/__utm.gif
ns1.xtest.asia,Possible Cobalt Strike C2 Domain,/cm
ns1.zengjunhe.top,Possible Cobalt Strike C2 Domain,/fwlink
ns18.clsr.ca,Possible Cobalt Strike C2 Domain,/dot.gif
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
ns2.227api.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ns2.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain,/cm
ns2.anaitea.com,Possible Cobalt Strike C2 Domain,/jquery.com/
ns2.beta-microsoft.com,Possible Cobalt Strike C2 Domain,/beta/microsoft/installer/latest
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns2.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
ns2.dnslogik.com,Possible Cobalt Strike C2 Domain,/mp/getapp/msgext
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
ns2.mikrokredit.shop,Possible Cobalt Strike C2 Domain,/jquary-3.3.1.min.js
ns2.onesdriveupdate.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.sangfor911.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.scalaganai.buzz,Possible Cobalt Strike C2 Domain,/visit.js
ns2.siegemachine.cn,Possible Cobalt Strike C2 Domain,/ca
ns2.tosohindia.cloudns.nz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.vip404.eu.org,Possible Cobalt Strike C2 Domain,/cx
ns2.we-bank.icu,Possible Cobalt Strike C2 Domain,/introduction/edr
ns2.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/en_US/all.js
ns2.zengjunhe.top,Possible Cobalt Strike C2 Domain,/ca
ns3.227api.com,Possible Cobalt Strike C2 Domain,/updates.rss
ns3.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
ns3.sangfor911.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns3.vip404.eu.org,Possible Cobalt Strike C2 Domain,/j.ad
ns3.xiaopeng111.com,Possible Cobalt Strike C2 Domain,/load
ns8.x7z.mom,Possible Cobalt Strike C2 Domain,/match
ns88.nanyafpg.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
nsff.aallianz.com.tw,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
nt1.227api.com,Possible Cobalt Strike C2 Domain,/push
nt2.227api.com,Possible Cobalt Strike C2 Domain,/load
nt3.227api.com,Possible Cobalt Strike C2 Domain,/dot.gif
nutiensel.com,Possible Cobalt Strike C2 Domain,/Dequeue/odbc/1VXDSW2OHJOE
oa.cncb.info,Possible Cobalt Strike C2 Domain,/updates
oary.10086.cn,Possible Cobalt Strike C2 Fronting Domain,/static/js/21.4ba2507c.js
one.gxzf.site,Possible Cobalt Strike C2 Domain,/clemente/details
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/g.pixel
peace.winexmarkets11.com,Possible Cobalt Strike C2 Domain,/j.ad
permit.peerscash.com,Possible Cobalt Strike C2 Domain,/j.ad
pic.micros0ft-security.org,Possible Cobalt Strike C2 Domain,/en_US/all.js
pos.inostage.ru,Possible PoshC2 Fronting Domain,/wpaas/load.php/
powellfamilydentist.com,Possible Cobalt Strike C2 Domain,/bg.js
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
pycharm-edu.us,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
rano.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain,/j.ad
redteam.tandemcyberops.co,Possible Cobalt Strike C2 Domain,/fwlink
res.mall.10010.cn,Possible Cobalt Strike C2 Fronted Domain,/static/js/21.4ba2507c.js
seeusdt.com,Possible Cobalt Strike C2 Domain,/activity
server1.bre1ce.top,Possible Cobalt Strike C2 Domain,/fwlink
service-00o1njdx-1317238936.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronted Domain,/api/3
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/admin/login
service-23oc1bm0-1322622051.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-3s2hxn8v-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-6wt8xswb-1307888624.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-aizhwq2o-1255155815.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
service-b7g5qx9l-1318401771.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/stream
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Contact/v9.23/AODFY6X8UV
service-dlrbbup7-1309697666.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-fddzhrcc-1320999622.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-l3k4wvla-1322622051.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/dpixel
service-mewxt0rn-1251826339.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-ndozu6av-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-oa25iv4d-1306428399.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/dpixel
service-opiag0j1-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-oshdwnr7-1306743016.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/ymget0905
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain,/activity
social.soft-update.services,Possible Cobalt Strike C2 Domain,/ca
software.cncb.info,Possible Cobalt Strike C2 Domain,/updates
spf.lemeridie-fiji.com,Possible Cobalt Strike C2 Domain,/search
spf1.superpeggy.com,Possible Cobalt Strike C2 Domain,/search
srns.matrika.cn,Possible Cobalt Strike C2 Domain,/ptj
ssa.bphsearch.com,Possible Cobalt Strike C2 Domain,/search
starinteriordesigns.com,Possible Cobalt Strike C2 Domain,/design/query/9X5M3SOE0F
summerevent2023.com,Possible Cobalt Strike C2 Domain,/tip.php
twlifeuat.sumikuma.tw,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/__utm.gif
update.microsofthk.com,Possible Cobalt Strike C2 Domain,/load
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain,/pixel
update.microsoftus.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
updatelink.firefoxokt.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
updates.imedicalhub.com,Possible Cobalt Strike C2 Domain,/ms-settings-power
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/cx
viewservice.org,Possible PoshC2 Fronting Domain,/usersync/tradedesk/
vigorouseuclid.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain,/visit.js
wps.cncb.info,Possible Cobalt Strike C2 Domain,/updates
www.micrcscft-store.com,Possible Cobalt Strike C2 Domain,/bg
www.qzyp.buzz,Possible Cobalt Strike C2 Domain,/j.ad
www.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
www1.allegiancefithealth.com,Possible Cobalt Strike C2 Domain,/async/newtab_ogb
www1.ceshi897.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www2.ceshi897.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/async/ddljson
www3.ceshi897.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
wwwrecaro.com,Possible PoshC2 Fronting Domain,/load/pages/index.php/
wylns.matrika.cn,Possible Cobalt Strike C2 Domain,/ptj
yyns.matrika.cn,Possible Cobalt Strike C2 Domain,/ga.js
